company.founded,demographics.age,demographics.gender,location.citizenship,location.region,wealth.how.industry,wealth.how.inherited
1959,0,male,Japan,East Asia,Technology-Computer,not inherited
0,0,,Japan,East Asia,Consumer,not inherited
1610,0,male,Japan,East Asia,Constrution,5th generation or longer
0,0,,Japan,East Asia,Other,not inherited
0,0,,South Korea,East Asia,Diversified financial,not inherited
1980,0,male,Malaysia,East Asia,Consumer,not inherited
1890,0,male,Mexico,Latin America,0,3rd generation
1948,49,male,Mexico,Latin America,Money Management,not inherited
1892,72,male,Mexico,Latin America,Diversified financial,not inherited
1938,59,female,United States,North America,Real Estate,father
1857,66,male,Spain,Europe,Money Management,father
1962,78,male,United States,North America,Money Management,not inherited
1972,64,male,United States,North America,Money Management,not inherited
1615,0,female,Germany,Europe,Money Management,5th generation or longer
1959,76,male,United States,North America,Consumer,not inherited
1975,62,male,Netherlands,Europe,Energy,not inherited
1940,0,male,Taiwan,East Asia,Diversified financial,not inherited
1938,62,female,United States,North America,Real Estate,father
1995,40,male,United States,North America,Media,not inherited
0,54,male,Liechtenstein,Europe,Constrution,father
1913,51,female,Italy,Europe,Consumer,father
1960,71,male,France,Europe,"Retail, Restaurant",not inherited
1952,80,male,Spain,Europe,Constrution,father
1983,60,male,United States,North America,Energy,not inherited
1988,34,male,Russia,Europe,Energy,not inherited
1955,55,male,Japan,East Asia,Other,father
1981,47,male,United States,North America,Hedge funds,not inherited
1977,44,male,Norway,Europe,"Retail, Restaurant",not inherited
1985,49,male,United States,North America,Technology-Computer,not inherited
1968,62,male,United States,North America,Technology-Medical,not inherited
1949,0,female,Switzerland,Europe,Constrution,not inherited
1903,0,male,United States,North America,Consumer,3rd generation
1962,57,male,United States,North America,"Retail, Restaurant",not inherited
1916,0,male,Spain,Europe,Diversified financial,3rd generation
1926,0,male,Switzerland,Europe,Non-consumer industrial,3rd generation
1961,69,male,Taiwan,East Asia,Other,not inherited
1853,0,male,United States,North America,"Retail, Restaurant",3rd generation
1945,68,male,United Kingdom,Europe,Constrution,father
1988,64,male,Taiwan,East Asia,Technology-Computer,not inherited
1940,57,male,Israel,Middle East/North Africa,Mining and metals,father
2004,31,male,Brazil,Latin America,Technology-Computer,not inherited
1927,77,male,Brazil,Latin America,Consumer,not inherited
1943,87,male,Sweden,Europe,"Retail, Restaurant",not inherited
1962,62,female,United States,North America,"Retail, Restaurant",father
1956,63,male,United States,North America,Consumer,not inherited
1869,35,female,United States,North America,Consumer,3rd generation
1869,35,female,United States,North America,Consumer,3rd generation
1853,0,female,United States,North America,"Retail, Restaurant",spouse/widow
1973,0,male,United States,North America,Media,not inherited
1903,0,male,United States,North America,Consumer,3rd generation
1986,51,male,United States,North America,Real Estate,not inherited
1984,31,male,United States,North America,Technology-Computer,not inherited
1980,0,male,United States,North America,Energy,not inherited
1930,62,male,Russia,Europe,Constrution,not inherited
1977,73,male,Sweden,Europe,Other,not inherited
1987,51,male,Indonesia,East Asia,Diversified financial,not inherited
1865,87,male,Germany,Europe,Technology-Medical,4th generation
1968,80,male,United Kingdom,Europe,Media,not inherited
1963,75,male,Germany,Europe,"Retail, Restaurant",not inherited
1984,76,male,Sweden,Europe,Other,not inherited
1929,68,male,Venezuela,Latin America,Media,father
1972,65,male,United States,North America,"Retail, Restaurant",not inherited
1979,65,male,Denmark,Europe,"Retail, Restaurant",not inherited
2010,44,male,China,East Asia,Consumer,not inherited
1984,60,male,United States,North America,Technology-Medical,not inherited
1993,0,male,China,East Asia,"Retail, Restaurant",not inherited
1938,0,male,United States,North America,"Retail, Restaurant",not inherited
1971,58,male,United States,North America,Money Management,not inherited
1957,62,male,United States,North America,Money Management,not inherited
1959,76,male,United States,North America,0,not inherited
1968,57,male,United States,North America,Technology-Medical,not inherited
1911,74,male,United States,North America,Mining and metals,father
1929,50,male,Venezuela,Latin America,Media,father
1890,0,male,Bahrain,Middle East/North Africa,Consumer,3rd generation
1895,0,,Brazil,Latin America,Hedge funds,not inherited
1944,0,male,Brazil,Latin America,Constrution,not inherited
1851,63,male,France,Europe,Money Management,4th generation
1811,0,male,United Kingdom,Europe,Money Management,5th generation or longer
1884,57,male,Mexico,Latin America,Money Management,not inherited
1888,74,male,Chile,Latin America,Mining and metals,not inherited
1945,55,male,United Kingdom,Europe,Constrution,father
1977,58,male,United States,North America,Hedge funds,not inherited
1947,54,male,United States,North America,Real Estate,not inherited
1972,67,male,United States,North America,"Retail, Restaurant",not inherited
1961,0,male,Italy,Europe,Consumer,not inherited
1976,0,male,Italy,Europe,Media,father
1962,76,male,United States,North America,Consumer,not inherited
1884,0,male,United States,North America,Money Management,not inherited
1920,55,male,Chile,Latin America,Consumer,father
1999,0,male,Italy,Europe,Money Management,not inherited
1985,0,male,Canada,North America,Media,not inherited
1988,56,male,United States,North America,Media,not inherited
1972,61,male,Germany,Europe,Technology-Computer,not inherited
1960,76,male,Philippines,East Asia,"Retail, Restaurant",not inherited
1892,77,male,Mexico,Latin America,Diversified financial,not inherited
1968,82,male,United States,North America,"Retail, Restaurant",not inherited
1940,50,male,South Africa,Sub-Saharan Africa,Consumer,father
1979,65,male,United States,North America,Money Management,not inherited
1989,36,male,Russia,Europe,Energy,not inherited
1837,0,male,France,Europe,Other,5th generation or longer
1870,0,male,United States,North America,Energy,father
1913,0,male,Indonesia,East Asia,Consumer,father
1948,66,male,Australia,North America,Consumer,father
1884,0,male,Mexico,Latin America,Money Management,not inherited
1978,0,male,China,East Asia,Money Management,not inherited
1957,89,male,Saudi Arabia,Middle East/North Africa,Money Management,not inherited
1999,42,male,Italy,Europe,Media,not inherited
1976,46,male,United States,North America,Technology-Computer,not inherited
1990,50,male,Russia,Europe,Energy,not inherited
1992,0,male,United States,North America,Technology-Computer,not inherited
1956,71,male,Canada,North America,Consumer,not inherited
1947,0,male,United States,North America,Constrution,not inherited
1881,61,male,Germany,Europe,Technology-Medical,4th generation
1959,72,male,Canada,North America,Technology-Medical,father
1994,53,male,United States,North America,Hedge funds,not inherited
1920,67,male,United States,North America,Media,father
1960,80,male,Germany,Europe,"Retail, Restaurant",not inherited
1954,86,male,Philippines,East Asia,Diversified financial,not inherited
1946,78,female,United States,North America,"Retail, Restaurant",spouse/widow
1898,61,male,United States,North America,Constrution,4th generation
1898,88,male,United States,North America,Constrution,4th generation
0,0,,Germany,Europe,Consumer,not inherited
1844,0,,Germany,Europe,Constrution,not inherited
1960,0,male,Hong Kong,East Asia,Consumer,not inherited
1968,0,male,Israel,Middle East/North Africa,Diversified financial,not inherited
1950,0,male,Israel,Middle East/North Africa,Consumer,father
0,0,,Japan,East Asia,Real Estate,not inherited
1937,0,male,Japan,East Asia,Consumer,3rd generation
0,0,,Japan,East Asia,Non-consumer industrial,not inherited
1897,76,male,France,Europe,Technology-Medical,3rd generation
1992,55,male,Russia,Europe,Non-consumer industrial,not inherited
1982,58,male,Germany,Europe,Technology-Computer,not inherited
1995,49,male,United States,North America,Technology-Computer,not inherited
1945,62,male,United States,North America,"Retail, Restaurant",father
1969,57,male,United States,North America,Technology-Medical,not inherited
1972,62,male,Norway,Europe,"Retail, Restaurant",not inherited
1981,67,male,United Kingdom,Europe,Money Management,not inherited
1973,72,male,United States,North America,Real Estate,not inherited
1985,54,male,India,South Asia,Money Management,not inherited
1994,58,male,Brazil,Latin America,Consumer,not inherited
1940,73,male,United States,North America,Energy,father
0,0,male,Malaysia,East Asia,Diversified financial,not inherited
1958,70,male,Mexico,Latin America,"Retail, Restaurant",not inherited
1906,40,male,Mexico,Latin America,"Retail, Restaurant",4th generation
0,0,,Mexico,Latin America,Non-consumer industrial,not inherited
1889,0,female,Peru,Latin America,Mining and metals,father
1961,0,male,Philippines,East Asia,Diversified financial,not inherited
1969,54,male,Saudi Arabia,Middle East/North Africa,Money Management,not inherited
1968,0,male,Saudi Arabia,Middle East/North Africa,Money Management,not inherited
1952,0,female,Spain,Europe,Constrution,father
1877,0,male,Switzerland,Europe,Money Management,3rd generation
1877,0,male,Switzerland,Europe,Money Management,3rd generation
0,0,male,Thailand,East Asia,Real Estate,not inherited
1984,62,male,Germany,Europe,Energy,not inherited
1903,47,male,Germany,Europe,Consumer,4th generation
1972,87,male,United States,North America,Media,not inherited
1985,52,male,United States,North America,Money Management,not inherited
2001,49,male,Hong Kong,East Asia,Diversified financial,not inherited
1972,74,male,Germany,Europe,Other,not inherited
1991,47,male,Russia,Europe,"Retail, Restaurant",not inherited
1997,40,female,Angola,Sub-Saharan Africa,Diversified financial,not inherited
2001,47,male,China,East Asia,Technology-Computer,not inherited
1976,65,male,United States,North America,Technology-Computer,not inherited
1999,50,male,Canada,North America,Technology-Computer,not inherited
1957,56,female,United States,North America,Real Estate,father
1952,0,male,France,Europe,Constrution,father
1919,66,male,Germany,Europe,Consumer,3rd generation
1944,54,male,Turkey,Middle East/North Africa,Consumer,father
1990,82,male,Swaziland,Sub-Saharan Africa,"Retail, Restaurant",not inherited
1957,66,male,Denmark,Europe,Technology-Medical,father
1946,70,male,United States,North America,Consumer,father
1995,50,female,China,East Asia,Real Estate,not inherited
1990,50,male,China,East Asia,"Retail, Restaurant",not inherited
1995,48,female,China,East Asia,Real Estate,not inherited
1976,54,male,United States,North America,Technology-Computer,not inherited
1975,46,male,United States,North America,Consumer,not inherited
1982,0,male,United States,North America,Media,not inherited
1981,53,male,United States,North America,Media,not inherited
1870,85,male,United States,North America,Mining and metals,3rd generation
1887,0,male,United States,North America,Media,3rd generation
1947,0,male,United States,North America,Non-consumer industrial,not inherited
1870,47,male,United States,North America,Energy,3rd generation
1928,31,male,United States,North America,Hedge funds,3rd generation
1928,21,male,United States,North America,Hedge funds,3rd generation
1927,24,male,United States,North America,Hedge funds,3rd generation
1968,77,male,United States,North America,"Retail, Restaurant",not inherited
1957,0,male,United States,North America,"Retail, Restaurant",not inherited
1904,64,male,Ireland,Europe,Media,not inherited
1949,71,male,United States,North America,Mining and metals,not inherited
1969,0,male,United States,North America,Media,father
1927,29,male,United States,North America,Hedge funds,3rd generation
1924,0,male,Thailand,East Asia,Media,not inherited
1928,36,male,United States,North America,Hedge funds,3rd generation
1919,56,male,United States,North America,Energy,father
1865,48,male,United States,North America,"Retail, Restaurant",5th generation or longer
1974,0,male,United States,North America,Media,not inherited
1977,73,male,United States,North America,Media,not inherited
1834,0,male,Philippines,East Asia,Money Management,4th generation
1985,56,male,Norway,Europe,Media,not inherited
1938,0,male,United States,North America,Technology-Computer,not inherited
1927,65,male,United States,North America,Real Estate,father
1941,42,male,United States,North America,Technology-Medical,3rd generation
1987,75,male,United States,North America,Other,not inherited
1950,33,male,Japan,East Asia,"Retail, Restaurant",not inherited
1919,76,male,Singapore,East Asia,Money Management,father
1982,66,male,Philippines,East Asia,Money Management,not inherited
1974,66,male,Switzerland,Europe,Hedge funds,not inherited
1993,77,female,United States,North America,Other,spouse/widow
1970,63,male,United States,North America,Real Estate,not inherited
1979,60,male,United States,North America,Technology-Medical,not inherited
1988,0,male,Italy,Europe,Technology-Computer,not inherited
1869,0,male,United States,North America,Money Management,3rd generation
1928,31,male,United States,North America,Hedge funds,3rd generation
1914,0,male,Canada,North America,Constrution,father
1977,0,male,Greece,Europe,Technology-Computer,not inherited
1980,0,female,United States,North America,Consumer,not inherited
1986,0,male,Thailand,East Asia,Real Estate,not inherited
1870,52,male,United States,North America,Energy,3rd generation
1994,49,male,United States,North America,Media,not inherited
1920,80,male,United States,North America,Money Management,not inherited
1942,0,male,Thailand,East Asia,Money Management,not inherited
1988,62,male,United States,North America,Hedge funds,not inherited
0,41,male,Russia,Europe,Real Estate,not inherited
1987,0,male,United Kingdom,Europe,Real Estate,not inherited
1976,60,male,United States,North America,"Retail, Restaurant",not inherited
1988,64,male,Poland,Europe,Media,not inherited
1978,73,male,United States,North America,Real Estate,not inherited
1976,58,male,United States,North America,"Retail, Restaurant",not inherited
1946,72,female,Germany,Europe,Non-consumer industrial,spouse/widow
2000,45,male,United Kingdom,Europe,Hedge funds,not inherited
2002,46,male,United States,North America,Technology-Computer,not inherited
1974,85,male,United States,North America,Real Estate,not inherited
1979,62,male,United States,North America,Non-consumer industrial,not inherited
1973,68,male,United States,North America,Other,not inherited
0,47,male,Russia,Europe,Real Estate,not inherited
1994,67,male,China,East Asia,Mining and metals,not inherited
1897,71,male,India,South Asia,Consumer,3rd generation
1986,64,male,Germany,Europe,Technology-Medical,not inherited
1979,84,male,United States,North America,"Retail, Restaurant",not inherited
2006,41,male,United States,North America,Technology-Computer,not inherited
1981,77,male,United States,North America,Energy,not inherited
1962,83,male,United States,North America,Technology-Computer,not inherited
1897,65,male,India,South Asia,Consumer,3rd generation
1961,82,male,Japan,East Asia,Consumer,not inherited
1991,70,male,United States,North America,Hedge funds,not inherited
1941,48,male,Venezuela,Latin America,Consumer,father
1969,69,male,China,East Asia,Diversified financial,not inherited
1961,89,male,Japan,East Asia,"Retail, Restaurant",not inherited
1997,60,male,Saudi Arabia,Middle East/North Africa,Consumer,not inherited
1860,0,female,Italy,Europe,Consumer,spouse/widow
1973,61,male,Indonesia,East Asia,Non-consumer industrial,not inherited
1986,64,male,Germany,Europe,Technology-Medical,not inherited
1875,36,female,Germany,Europe,Media,5th generation or longer
1992,57,male,Poland,Europe,Media,not inherited
1951,83,male,United States,North America,Other,not inherited
1961,74,male,United States,North America,Venture Capital,not inherited
1988,51,male,Taiwan,East Asia,Technology-Computer,not inherited
1987,0,male,United States,North America,Media,not inherited
1869,50,female,United States,North America,Consumer,3rd generation
1947,58,male,United States,North America,Consumer,father
1851,77,male,United States,North America,Consumer,not inherited
1962,67,male,Canada,North America,Media,not inherited
1947,54,male,Italy,Europe,Constrution,not inherited
1956,73,male,Canada,North America,Consumer,not inherited
1962,77,male,Hong Kong,East Asia,Real Estate,not inherited
1923,0,male,Japan,East Asia,Technology-Medical,not inherited
1975,59,male,United States,North America,Money Management,not inherited
1969,73,male,Canada,North America,"Retail, Restaurant",not inherited
1979,69,male,United States,North America,Technology-Medical,not inherited
1987,50,male,United States,North America,Media,not inherited
1969,0,male,Japan,East Asia,Technology-Computer,not inherited
1987,0,male,United States,North America,Media,not inherited
1946,0,male,Japan,East Asia,Consumer,not inherited
1872,0,male,Italy,Europe,Consumer,not inherited
1984,72,female,United States,North America,Media,spouse/widow
0,0,female,United States,North America,Other,not inherited
1982,63,male,United States,North America,Hedge funds,not inherited
1955,55,male,Hong Kong,East Asia,Real Estate,father
1963,60,male,Malaysia,East Asia,Money Management,not inherited
1957,0,male,United States,North America,Real Estate,not inherited
1894,64,male,United States,North America,"Retail, Restaurant",3rd generation
1941,46,female,United States,North America,Technology-Medical,3rd generation
1923,71,male,United States,North America,Media,father
1970,73,male,United States,North America,Consumer,not inherited
1962,79,male,Hong Kong,East Asia,Real Estate,not inherited
1958,68,male,United States,North America,Real Estate,not inherited
1906,56,male,Hong Kong,East Asia,"Retail, Restaurant",3rd generation
1989,0,male,Russia,Europe,Energy,not inherited
1896,0,male,United Kingdom,Europe,Media,4th generation
1884,69,male,United States,North America,Constrution,not inherited
1963,69,male,United States,North America,Technology-Medical,not inherited
1906,53,male,Hong Kong,East Asia,Consumer,3rd generation
1929,53,male,Russia,Europe,Consumer,not inherited
1967,43,male,South Korea,East Asia,Consumer,3rd generation
1949,60,female,Germany,Europe,Consumer,father
1948,75,male,United States,North America,Real Estate,father
1944,62,male,Sweden,Europe,Real Estate,father
1988,69,male,United States,North America,Media,not inherited
1957,83,male,Japan,East Asia,"Retail, Restaurant",not inherited
1972,70,male,United States,North America,Consumer,not inherited
1972,62,male,United States,North America,Venture Capital,not inherited
1939,79,male,Australia,North America,Real Estate,father
1965,78,male,Taiwan,East Asia,Real Estate,not inherited
1952,55,male,Spain,Europe,Constrution,father
1941,59,female,United States,North America,Technology-Medical,3rd generation
1994,67,male,United States,North America,Media,not inherited
1989,51,male,China,East Asia,Diversified financial,not inherited
1972,52,female,United States,North America,"Retail, Restaurant",father
1983,73,male,Germany,Europe,Technology-Medical,not inherited
1925,93,male,Brazil,Latin America,Money Management,father
1910,57,male,Finland,Europe,Non-consumer industrial,4th generation
1978,76,male,Canada,North America,Energy,not inherited
1991,52,male,Canada,North America,"Retail, Restaurant",not inherited
1954,92,male,Philippines,East Asia,Constrution,not inherited
1969,82,female,United States,North America,Consumer,not inherited
1972,66,male,Hong Kong,East Asia,Real Estate,not inherited
2001,46,male,China,East Asia,Technology-Computer,not inherited
1989,65,male,United States,North America,Hedge funds,not inherited
1936,71,male,France,Europe,Consumer,father
1999,49,male,United States,North America,Technology-Computer,not inherited
1923,48,male,Germany,Europe,Consumer,father
2002,55,male,Russia,Europe,Energy,not inherited
1920,66,male,Germany,Europe,Other,father
1972,77,male,United States,North America,Technology-Medical,not inherited
1923,62,female,Germany,Europe,Consumer,father
1978,58,male,Italy,Europe,Consumer,not inherited
0,63,male,Taiwan,East Asia,Diversified financial,not inherited
1957,83,male,Turkey,Middle East/North Africa,Constrution,not inherited
1923,50,male,Germany,Europe,Consumer,father
1912,66,male,Switzerland,Europe,Diversified financial,4th generation
1983,63,male,United States,North America,Energy,not inherited
1923,61,male,Germany,Europe,Consumer,father
1956,75,male,Belgium,Europe,Money Management,not inherited
1980,0,male,United States,North America,Money Management,not inherited
1952,48,female,Spain,Europe,Constrution,father
1926,0,female,Argentina,Latin America,Constrution,spouse/widow
1984,62,male,Malaysia,East Asia,Media,not inherited
1873,57,female,Sweden,Europe,Money Management,4th generation
1986,59,male,United States,North America,Technology-Computer,not inherited
1959,59,male,Portugal,Europe,"Retail, Restaurant",not inherited
1953,0,male,Switzerland,Europe,Money Management,5th generation or longer
1983,55,male,United States,North America,Hedge funds,not inherited
1975,53,male,United States,North America,Technology-Computer,not inherited
1958,40,male,South Korea,East Asia,Consumer,father
1994,34,male,United States,North America,Technology-Computer,not inherited
1935,77,male,United States,North America,Real Estate,father
1935,65,male,United States,North America,Other,father
1869,0,female,United States,North America,Consumer,3rd generation
1945,0,female,Argentina,Latin America,Media,spouse/widow
1952,50,female,Spain,Europe,Constrution,father
1988,0,male,United States,North America,Technology-Computer,not inherited
1956,66,male,Spain,Europe,"Retail, Restaurant",not inherited
1949,0,male,Singapore,East Asia,Money Management,not inherited
1712,0,male,United Kingdom,Europe,Real Estate,5th generation or longer
1978,47,male,Mexico,Latin America,Mining and metals,not inherited
1869,55,female,United States,North America,Consumer,3rd generation
1992,0,female,Israel,Middle East/North Africa,Technology-Medical,not inherited
1954,0,male,France,Europe,Diversified financial,not inherited
1947,56,male,United States,North America,Other,father
1976,75,male,United States,North America,Private equity/leveraged buyout,not inherited
1994,32,male,United States,North America,Technology-Computer,not inherited
1972,50,male,United States,North America,Venture Capital,not inherited
1929,0,male,New Zealand,North America,Energy,3rd generation
1980,69,male,United States,North America,Hedge funds,not inherited
1920,0,male,Hong Kong,East Asia,Real Estate,father
1984,0,male,United States,North America,Consumer,not inherited
1989,0,male,United Kingdom,Europe,"Retail, Restaurant",not inherited
1950,50,male,Canada,North America,Hedge funds,father
1985,0,male,United States,North America,Media,not inherited
1950,71,male,Egypt,Middle East/North Africa,Constrution,not inherited
1974,65,male,Switzerland,Europe,Energy,not inherited
1996,0,male,United States,North America,Technology-Computer,not inherited
1988,67,male,United States,North America,Real Estate,not inherited
1912,0,male,Japan,East Asia,Technology-Medical,father
1969,64,male,United States,North America,Money Management,not inherited
1610,58,male,Japan,East Asia,Constrution,5th generation or longer
1995,36,male,United States,North America,Private equity/leveraged buyout,not inherited
1982,46,male,United States,North America,Venture Capital,not inherited
1935,72,male,Singapore,East Asia,Money Management,father
1947,68,male,United States,North America,Other,father
1887,51,male,United States,North America,Media,3rd generation
1865,63,male,United States,North America,Money Management,3rd generation
1979,72,male,South Africa,Sub-Saharan Africa,"Retail, Restaurant",not inherited
1968,76,male,India,South Asia,Technology-Medical,not inherited
1971,69,male,United States,North America,"Retail, Restaurant",not inherited
1972,77,male,United States,North America,Diversified financial,not inherited
1970,0,male,Switzerland,Europe,Other,not inherited
1936,73,female,Austria,Europe,"Retail, Restaurant",spouse/widow
1971,70,male,Algeria,Middle East/North Africa,Consumer,not inherited
1865,64,male,United States,North America,Money Management,3rd generation
1980,82,male,United States,North America,Hedge funds,not inherited
1982,62,male,China,East Asia,Consumer,not inherited
1995,51,male,China,East Asia,Consumer,not inherited
1865,60,female,United States,North America,Money Management,3rd generation
1970,0,female,Switzerland,Europe,Other,not inherited
1938,67,male,Greece,Europe,Money Management,father
1983,53,male,Ukraine,Europe,Non-consumer industrial,not inherited
1993,46,male,Russia,Europe,Money Management,not inherited
2008,45,male,Brazil,Latin America,Money Management,not inherited
1957,53,male,United States,North America,Real Estate,father
1919,85,male,Brazil,Latin America,Diversified financial,father
1949,84,male,United States,North America,Mining and metals,not inherited
1987,67,male,United States,North America,Private equity/leveraged buyout,not inherited
1985,91,male,Canada,North America,Real Estate,not inherited
1987,64,male,United States,North America,Private equity/leveraged buyout,not inherited
0,63,male,United Kingdom,Europe,Real Estate,not inherited
1919,81,male,Brazil,Latin America,Diversified financial,father
1931,72,male,Germany,Europe,Consumer,father
1998,71,male,United States,North America,Media,not inherited
1975,64,male,United States,North America,Consumer,not inherited
1957,49,male,United States,North America,Real Estate,father
1915,74,male,United States,North America,Consumer,father
1979,70,female,United States,North America,Technology-Medical,not inherited
1919,83,female,Brazil,Latin America,Diversified financial,father
1952,66,male,Egypt,Middle East/North Africa,Diversified financial,father
1979,89,male,Saudi Arabia,Middle East/North Africa,Diversified financial,not inherited
1982,58,male,Lebanon,Middle East/North Africa,Media,not inherited
1931,71,male,United States,North America,Diversified financial,father
1992,65,male,United States,North America,"Retail, Restaurant",not inherited
2005,51,male,China,East Asia,Technology-Computer,not inherited
1981,60,male,United States,North America,Hedge funds,not inherited
1995,47,male,Cyprus,Europe,"Retail, Restaurant",not inherited
1911,62,male,Malaysia,East Asia,Diversified financial,not inherited
1982,69,male,Lebanon,Middle East/North Africa,Media,not inherited
1896,74,male,Germany,Europe,Consumer,not inherited
1954,93,male,Taiwan,East Asia,Non-consumer industrial,not inherited
1987,64,male,United States,North America,Private equity/leveraged buyout,not inherited
1992,65,male,Israel,Middle East/North Africa,Real Estate,not inherited
1991,51,male,Russia,Europe,Mining and metals,not inherited
1964,77,male,United States,North America,Media,not inherited
1948,53,male,Australia,North America,Consumer,father
2009,42,male,United States,North America,Technology-Computer,not inherited
1988,51,male,United States,North America,"Retail, Restaurant",not inherited
1965,66,male,United States,North America,"Retail, Restaurant",not inherited
1961,67,male,Germany,Europe,Non-consumer industrial,father
1886,55,male,United States,North America,Consumer,5th generation or longer
1965,72,male,United States,North America,Consumer,not inherited
1886,57,female,United States,North America,Consumer,5th generation or longer
1987,69,male,Turkey,Middle East/North Africa,Money Management,not inherited
1886,84,female,United States,North America,Consumer,4th generation
1950,76,male,United States,North America,Consumer,father
1970,71,male,United States,North America,Other,not inherited
1971,65,male,United States,North America,Energy,not inherited
1980,70,male,United States,North America,Consumer,not inherited
1994,64,male,Australia,North America,Diversified financial,not inherited
1946,82,male,India,South Asia,Real Estate,father
1962,37,male,Hong Kong,East Asia,Real Estate,father
1985,61,male,China,East Asia,Diversified financial,not inherited
1976,74,male,France,Europe,Consumer,not inherited
1964,78,male,Australia,North America,Technology-Medical,not inherited
1965,83,male,United States,North America,"Retail, Restaurant",not inherited
1945,73,male,United States,North America,Consumer,father
1886,58,male,United States,North America,Consumer,5th generation or longer
1958,74,male,Hong Kong,East Asia,Real Estate,father
1981,80,male,Hong Kong,East Asia,"Retail, Restaurant",not inherited
1992,49,male,China,East Asia,Energy,not inherited
1886,54,female,United States,North America,Consumer,5th generation or longer
1986,60,male,India,South Asia,Mining and metals,not inherited
1965,70,male,Italy,Europe,Consumer,not inherited
1994,47,male,United States,North America,Technology-Computer,not inherited
1870,98,male,United States,North America,Energy,3rd generation
1984,0,male,United States,North America,Consumer,not inherited
1999,58,male,United Kingdom,Europe,Mining and metals,not inherited
1926,67,male,Brazil,Latin America,Money Management,3rd generation
1965,72,male,Italy,Europe,Consumer,not inherited
1965,76,female,Italy,Europe,Consumer,not inherited
1886,85,male,United States,North America,Consumer,5th generation or longer
1973,71,male,United States,North America,Real Estate,not inherited
1991,56,male,Colombia,Latin America,Money Management,not inherited
1984,0,female,United States,North America,Consumer,not inherited
1926,52,male,Brazil,Latin America,Money Management,3rd generation
2003,39,male,United States,North America,Hedge funds,not inherited
1969,52,male,United States,North America,Consumer,father
1886,83,female,United States,North America,Consumer,5th generation or longer
1990,49,male,United States,North America,Private equity/leveraged buyout,not inherited
1965,78,male,Italy,Europe,Consumer,not inherited
1936,45,female,Switzerland,Europe,Non-consumer industrial,father
1990,52,male,United States,North America,Private equity/leveraged buyout,not inherited
1911,68,male,Switzerland,Europe,Consumer,father
1968,64,male,Hong Kong,East Asia,"Retail, Restaurant",not inherited
1986,60,female,United States,North America,Media,not inherited
1926,54,male,Brazil,Latin America,Money Management,3rd generation
1936,38,female,Switzerland,Europe,Non-consumer industrial,father
1972,72,male,United States,North America,Other,not inherited
1957,63,male,United States,North America,Real Estate,father
1995,49,male,United States,North America,Private equity/leveraged buyout,not inherited
1884,82,male,United States,North America,Constrution,not inherited
1926,57,male,Brazil,Latin America,Money Management,3rd generation
1948,77,male,Brazil,Latin America,"Retail, Restaurant",father
1954,55,female,Germany,Europe,Real Estate,spouse/widow
1792,79,male,Portugal,Europe,"Retail, Restaurant",3rd generation
1950,90,male,United States,North America,Real Estate,not inherited
1962,52,female,Hong Kong,East Asia,Real Estate,spouse/widow
1984,70,male,Germany,Europe,Technology-Medical,not inherited
1969,72,male,Hong Kong,East Asia,Other,father
1972,67,male,Germany,Europe,"Retail, Restaurant",not inherited
1944,67,male,United States,North America,Real Estate,father
1994,46,male,Turkey,Middle East/North Africa,Constrution,not inherited
1988,51,male,India,South Asia,Mining and metals,not inherited
1991,62,male,China,East Asia,Real Estate,not inherited
1946,88,female,United States,North America,Diversified financial,spouse/widow
1986,61,male,United Kingdom,Europe,Consumer,not inherited
1945,67,male,Thailand,East Asia,Media,father
1959,75,male,United States,North America,Consumer,not inherited
1869,64,female,United States,North America,Consumer,3rd generation
1985,58,male,Japan,East Asia,"Retail, Restaurant",not inherited
1923,0,male,Germany,Europe,"Retail, Restaurant",3rd generation
1972,59,male,United States,North America,Venture Capital,not inherited
1950,59,male,Egypt,Middle East/North Africa,Media,father
1949,81,male,Morocco,Middle East/North Africa,Money Management,father
1980,62,male,Indonesia,East Asia,Diversified financial,not inherited
1996,78,male,France,Europe,"Retail, Restaurant",not inherited
1919,66,male,United States,North America,Energy,father
1960,0,male,United Arab Emirates,Middle East/North Africa,Diversified financial,father
1945,51,male,South Korea,East Asia,Consumer,father
1925,65,male,Russia,Europe,Non-consumer industrial,not inherited
1920,85,male,United States,North America,Energy,father
2000,76,male,United States,North America,Diversified financial,not inherited
1951,57,male,China,East Asia,Consumer,not inherited
1992,48,male,Russia,Europe,Constrution,not inherited
1986,55,male,New Zealand,North America,Diversified financial,not inherited
1965,72,female,United States,North America,Technology-Computer,spouse/widow
1992,71,male,United States,North America,Private equity/leveraged buyout,not inherited
1973,70,female,United States,North America,Real Estate,not inherited
1976,57,female,Switzerland,Europe,Technology-Computer,father
1963,56,female,Denmark,Europe,Consumer,father
1933,46,male,France,Europe,Consumer,father
1994,54,male,United States,North America,Real Estate,not inherited
1866,47,male,Norway,Europe,"Retail, Restaurant",father
1961,66,male,Hong Kong,East Asia,Real Estate,not inherited
2004,39,male,China,East Asia,Technology-Computer,not inherited
1933,33,female,France,Europe,Consumer,father
1995,41,male,United States,North America,"Retail, Restaurant",not inherited
1977,64,male,Brazil,Latin America,Consumer,not inherited
1997,52,male,South Africa,Sub-Saharan Africa,Mining and metals,not inherited
